Environment,Jenkins Pipeline Name,VM / Container,Repository URL,Runtime,Container Base Image,Build Command
PROD,HRC-Kollect-Pay-Portal-Backend-PROD,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/kollect-payportal-be.git,Nodejs v16.17.0,,
PROD,HRC-AMD-Sync-Service-PROD,On Container,https://gitlab.healthreconconnect.com/hrc/amd-sync-service.git,mvn 3.8.7,eclipse-temurin:17-jdk-focal,

Non-Healthcare-Demo,Non-Healthcare-Demo-BE,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/one-kollect-core-service.git,Nodejs v16.17.0,,
Non-Healthcare-Demo,Non-Healthcare-Demo-Cron,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/one-kollect-scheduler.git,Nodejs v16.17.0,,
Non-Healthcare-Demo,Non-Healthcare-Demo-FE,Static website and CDN,https://gitlab.healthreconconnect.com/hrc/one-kollect-frontend.git,Nodejs v16.17.0,,
Non-Healthcare-Dev,Non-Healthcare-Dev-BE,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/one-kollect-core-service.git,Nodejs v16.17.0,,
Non-Healthcare-Dev,Non-Healthcare-Dev-Cron,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/one-kollect-scheduler.git,Nodejs v16.17.0,,
Non-Healthcare-Dev,Non-Healthcare-Dev-FE,Static website and CDN,https://gitlab.healthreconconnect.com/hrc/one-kollect-frontend.git,Nodejs v16.17.0,,
Non-Healthcare-QA,Non-Healthcare-QA-BE,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/one-kollect-core-service.git,Nodejs v16.17.0,,
Non-Healthcare-QA,Non-Healthcare-QA-Cron,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/one-kollect-scheduler.git,Nodejs v16.17.0,,
Non-Healthcare-QA,Non-Healthcare-QA-FE,Static website and CDN,https://gitlab.healthreconconnect.com/hrc/one-kollect-frontend.git,Nodejs v16.17.0,,
